Czas,Temperatura procesora,Zużycie procesora
 07-06-2024 22:06:46,47,14.085
 07-06-2024 22:06:47,50,11.068
 07-06-2024 22:06:48,49,9.912
 07-06-2024 22:06:49,55,19.488
 07-06-2024 22:06:50,51,13.63
 07-06-2024 22:06:51,49,9.614
 07-06-2024 22:06:52,46,12.05
 07-06-2024 22:06:53,43,7.479
 07-06-2024 22:06:54,51,11.543
 07-06-2024 22:06:55,45,12.461
 07-06-2024 22:06:56,47,5.413
 07-06-2024 22:06:57,44,7.212
 07-06-2024 22:06:58,44,11.532
 07-06-2024 22:06:59,54,7.334
 07-06-2024 22:07:00,44,7.621
 07-06-2024 22:07:01,49,8.705
 07-06-2024 22:07:02,44,8.568
 07-06-2024 22:07:03,47,5.101
 07-06-2024 22:07:04,46,8.259
 07-06-2024 22:07:05,44,6.906
 07-06-2024 22:07:06,50,8.415
 07-06-2024 22:07:07,44,5.393
 07-06-2024 22:07:08,50,7.444
 07-06-2024 22:07:09,45,7.417
 07-06-2024 22:07:10,50,7.625
 07-06-2024 22:07:11,44,9.626
 07-06-2024 22:07:12,49,6.126
 07-06-2024 22:07:13,49,8.769
 07-06-2024 22:07:14,44,4.853
 07-06-2024 22:07:15,46,8.829
 07-06-2024 22:07:16,45,6.205
 07-06-2024 22:07:17,49,7.864
 07-06-2024 22:07:18,49,6.842
 07-06-2024 22:07:19,50,8.092
 07-06-2024 22:07:20,45,10.46
 07-06-2024 22:07:21,49,6.102
 07-06-2024 22:07:22,51,9.432
 07-06-2024 22:07:23,45,15.792
 07-06-2024 22:07:24,50,12.063
 07-06-2024 22:07:25,47,15.733
 07-06-2024 22:07:26,45,6.29
 07-06-2024 22:07:27,49,15.405
 07-06-2024 22:07:28,49,13.325
 07-06-2024 22:07:29,51,13.91
 07-06-2024 22:07:30,46,11.385
 07-06-2024 22:07:31,51,13.968
 07-06-2024 22:07:32,51,12.829
 07-06-2024 22:07:33,52,11.237
 07-06-2024 22:07:34,51,12.567
 07-06-2024 22:07:35,52,10.927
 07-06-2024 22:07:36,49,14.033
 07-06-2024 22:07:37,52,24.236
 07-06-2024 22:07:38,54,17.193
 07-06-2024 22:07:39,48,9.703
 07-06-2024 22:07:40,49,10.25
 07-06-2024 22:07:41,52,11.003
 07-06-2024 22:07:42,51,14.303
 07-06-2024 22:07:43,46,14.392
 07-06-2024 22:07:44,49,12.817
 07-06-2024 22:07:45,45,16.213
 07-06-2024 22:07:46,51,7.557
 07-06-2024 22:07:47,51,9.633
 07-06-2024 22:07:48,46,8.715
 07-06-2024 22:07:49,51,7.253
 07-06-2024 22:07:50,46,9.904
 07-06-2024 22:07:51,49,8.528
 07-06-2024 22:07:52,48,12.109
 07-06-2024 22:07:53,49,7.58
 07-06-2024 22:07:54,45,7.955
 07-06-2024 22:07:55,47,12.232
 07-06-2024 22:07:56,47,7.604
 07-06-2024 22:07:57,45,5.583
 07-06-2024 22:07:58,52,10.757
 07-06-2024 22:07:59,44,6.701
 07-06-2024 22:08:00,47,9.493
 07-06-2024 22:08:01,44,6.947
 07-06-2024 22:08:02,49,7.227
 07-06-2024 22:08:03,46,8.738
 07-06-2024 22:08:04,52,10.164
 07-06-2024 22:08:05,46,8.467
 07-06-2024 22:08:06,48,7.573
 07-06-2024 22:08:07,51,14.119
 07-06-2024 22:08:08,45,6.623
 07-06-2024 22:08:09,48,6.866
 07-06-2024 22:08:10,51,10.727
 07-06-2024 22:08:11,51,11.042
 07-06-2024 22:08:12,46,7.631
 07-06-2024 22:08:13,48,6.322
 07-06-2024 22:08:14,44,10.442
 07-06-2024 22:08:15,49,6.512
 07-06-2024 22:08:16,49,7.998
 07-06-2024 22:08:17,44,5.593
 07-06-2024 22:08:18,51,5.993
 07-06-2024 22:08:19,44,6.06
 07-06-2024 22:08:20,49,8.613
 07-06-2024 22:08:21,44,5.085
 07-06-2024 22:08:22,50,6.937
 07-06-2024 22:08:23,44,7.163
 07-06-2024 22:08:24,54,7.238
 07-06-2024 22:08:25,45,8.432
 07-06-2024 22:08:26,48,8.854
 07-06-2024 22:08:27,52,7.784
 07-06-2024 22:08:28,47,9.055
 07-06-2024 22:08:29,51,13.995
 07-06-2024 22:08:30,45,7.723
 07-06-2024 22:08:31,54,6.795
 07-06-2024 22:08:32,45,7.673
 07-06-2024 22:08:33,50,6.372
 07-06-2024 22:08:34,45,7.317
 07-06-2024 22:08:35,49,8.351
 07-06-2024 22:08:36,54,9.278
 07-06-2024 22:08:37,47,8.555
 07-06-2024 22:08:38,51,12.581
 07-06-2024 22:08:39,45,7.997
 07-06-2024 22:08:40,49,8.023
 07-06-2024 22:08:41,46,7.373
 07-06-2024 22:08:42,47,9.106
 07-06-2024 22:08:43,47,15.347
 07-06-2024 22:08:44,46,6.629
 07-06-2024 22:08:45,49,8.32
 07-06-2024 22:08:46,45,7.903
 07-06-2024 22:08:47,50,7.561
 07-06-2024 22:08:48,46,7.891
 07-06-2024 22:08:49,49,6.099
 07-06-2024 22:08:50,45,7.571
 07-06-2024 22:08:51,48,6.439
 07-06-2024 22:08:52,47,10.016
 07-06-2024 22:08:53,46,10.168
 07-06-2024 22:08:54,47,9.154
 07-06-2024 22:08:55,47,10.98
 07-06-2024 22:08:56,49,11.157
 07-06-2024 22:08:57,46,12.472
