Czas,Temperatura procesora
 08-06-2024 12:54:49,48
 08-06-2024 12:54:50,46
 08-06-2024 12:54:51,48
 08-06-2024 12:54:52,45
 08-06-2024 12:54:53,44
 08-06-2024 12:54:54,47
 08-06-2024 12:54:55,45
 08-06-2024 12:54:56,47
 08-06-2024 12:54:57,47
 08-06-2024 12:54:58,49
 08-06-2024 12:54:59,46
 08-06-2024 12:55:00,46
 08-06-2024 12:55:01,48
 08-06-2024 12:55:02,44
 08-06-2024 12:55:03,45
 08-06-2024 12:55:04,45
 08-06-2024 12:55:05,48
 08-06-2024 12:55:06,51
 08-06-2024 12:55:07,46
 08-06-2024 12:55:08,45
 08-06-2024 12:55:09,45
 08-06-2024 12:55:10,44
 08-06-2024 12:55:11,44
 08-06-2024 12:55:12,47
 08-06-2024 12:55:13,44
 08-06-2024 12:55:14,52
 08-06-2024 12:55:15,45
 08-06-2024 12:55:16,46
 08-06-2024 12:55:17,46
 08-06-2024 12:55:18,44
 08-06-2024 12:55:19,46
 08-06-2024 12:55:20,45
 08-06-2024 12:55:21,45
 08-06-2024 12:55:22,45
 08-06-2024 12:55:23,45
 08-06-2024 12:55:24,45
 08-06-2024 12:55:25,45
 08-06-2024 12:55:26,44
 08-06-2024 12:55:27,44
 08-06-2024 12:55:28,43
 08-06-2024 12:55:29,45
 08-06-2024 12:55:30,45
 08-06-2024 12:55:31,46
 08-06-2024 12:55:32,45
 08-06-2024 12:55:33,47
 08-06-2024 12:55:34,45
 08-06-2024 12:55:35,45
 08-06-2024 12:55:36,44
 08-06-2024 12:55:37,51
 08-06-2024 12:55:38,45
 08-06-2024 12:55:39,45
 08-06-2024 12:55:40,44
 08-06-2024 12:55:41,43
 08-06-2024 12:55:42,46
 08-06-2024 12:55:43,43
 08-06-2024 12:55:44,43
 08-06-2024 12:55:45,44
 08-06-2024 12:55:46,43
 08-06-2024 12:55:47,46
 08-06-2024 12:55:48,48
 08-06-2024 12:55:49,50
 08-06-2024 12:55:50,44
 08-06-2024 12:55:51,30
 08-06-2024 12:55:52,43
 08-06-2024 12:55:53,49
 08-06-2024 12:55:54,44
 08-06-2024 12:55:55,44
 08-06-2024 12:55:56,43
 08-06-2024 12:55:57,43
 08-06-2024 12:55:58,43
 08-06-2024 12:55:59,45
 08-06-2024 12:56:00,43
 08-06-2024 12:56:01,44
 08-06-2024 12:56:02,43
 08-06-2024 12:56:03,45
 08-06-2024 12:56:04,42
 08-06-2024 12:56:05,43
 08-06-2024 12:56:06,43
 08-06-2024 12:56:07,43
 08-06-2024 12:56:08,43
 08-06-2024 12:56:09,43
 08-06-2024 12:56:10,43
 08-06-2024 12:56:11,43
 08-06-2024 12:56:12,42
 08-06-2024 12:56:13,42
 08-06-2024 12:56:14,42
 08-06-2024 12:56:15,52
 08-06-2024 12:56:16,43
 08-06-2024 12:56:17,43
 08-06-2024 12:56:18,43
 08-06-2024 12:56:19,43
 08-06-2024 12:56:20,43
 08-06-2024 12:56:21,46
 08-06-2024 12:56:22,51
 08-06-2024 12:56:23,47
 08-06-2024 12:56:24,46
 08-06-2024 12:56:25,49
 08-06-2024 12:56:26,53
 08-06-2024 12:56:27,54
 08-06-2024 12:56:28,49
 08-06-2024 12:56:29,54
 08-06-2024 12:56:30,50
 08-06-2024 12:56:31,51
 08-06-2024 12:56:32,43
 08-06-2024 12:56:33,43
 08-06-2024 12:56:34,43
 08-06-2024 12:56:35,44
 08-06-2024 12:56:36,43
 08-06-2024 12:56:37,42
 08-06-2024 12:56:38,42
 08-06-2024 12:56:39,43
 08-06-2024 12:56:40,42
 08-06-2024 12:56:41,42
 08-06-2024 12:56:42,43
 08-06-2024 12:56:43,42
 08-06-2024 12:56:44,43
 08-06-2024 12:56:45,43
 08-06-2024 12:56:46,42
 08-06-2024 12:56:47,42
 08-06-2024 12:56:48,42
 08-06-2024 12:56:49,42
 08-06-2024 12:56:50,43
 08-06-2024 12:56:51,43
 08-06-2024 12:56:52,42
 08-06-2024 12:56:53,43
 08-06-2024 12:56:54,42
 08-06-2024 12:56:55,43
 08-06-2024 12:56:56,43
 08-06-2024 12:56:57,48
 08-06-2024 12:56:58,43
 08-06-2024 12:56:59,43
 08-06-2024 12:57:00,43
 08-06-2024 12:57:01,43
 08-06-2024 12:57:02,42
 08-06-2024 12:57:03,43
 08-06-2024 12:57:04,43
 08-06-2024 12:57:05,43
 08-06-2024 12:57:06,44
 08-06-2024 12:57:07,43
 08-06-2024 12:57:08,43
 08-06-2024 12:57:09,42
 08-06-2024 12:57:10,43
 08-06-2024 12:57:11,42
 08-06-2024 12:57:12,43
 08-06-2024 12:57:13,43
 08-06-2024 12:57:14,42
 08-06-2024 12:57:15,43
 08-06-2024 12:57:16,42
 08-06-2024 12:57:17,42
 08-06-2024 12:57:18,42
 08-06-2024 12:57:19,43
 08-06-2024 12:57:20,42
 08-06-2024 12:57:21,42
 08-06-2024 12:57:22,42
 08-06-2024 12:57:23,43
 08-06-2024 12:57:24,42
 08-06-2024 12:57:25,42
 08-06-2024 12:57:26,43
 08-06-2024 12:57:27,45
 08-06-2024 12:57:28,44
 08-06-2024 12:57:29,42
 08-06-2024 12:57:30,48
 08-06-2024 12:57:31,42
 08-06-2024 12:57:32,49
 08-06-2024 12:57:33,43
 08-06-2024 12:57:34,42
 08-06-2024 12:57:35,49
 08-06-2024 12:57:36,43
 08-06-2024 12:57:37,43
 08-06-2024 12:57:38,43
 08-06-2024 12:57:39,42
 08-06-2024 12:57:40,42
 08-06-2024 12:57:41,42
