Czas,Temperatura procesora
 08-06-2024 12:47:00, 41.875              
 08-06-2024 12:47:01, 41.750              
 08-06-2024 12:47:02, 42.000              
 08-06-2024 12:47:03, 41.875              
 08-06-2024 12:47:04, 41.750              
 08-06-2024 12:47:05, 41.500              
 08-06-2024 12:47:06, 41.625              
 08-06-2024 12:47:07, 41.750              
 08-06-2024 12:47:08, 41.750              
 08-06-2024 12:47:09, 41.625              
 08-06-2024 12:47:10, 41.625              
 08-06-2024 12:47:11, 41.625              
 08-06-2024 12:47:12, 42.125              
 08-06-2024 12:47:13, 41.750              
 08-06-2024 12:47:14, 41.750              
 08-06-2024 12:47:15, 41.750              
 08-06-2024 12:47:16, 41.750              
 08-06-2024 12:47:17, 42.000              
 08-06-2024 12:47:18, 42.125              
 08-06-2024 12:47:19, 41.875              
 08-06-2024 12:47:20, 41.875              
 08-06-2024 12:47:21, 41.750              
 08-06-2024 12:47:22, 42.125              
 08-06-2024 12:47:23, 41.875              
 08-06-2024 12:47:24, 42.000              
 08-06-2024 12:47:25, 41.750              
 08-06-2024 12:47:26, 41.750              
 08-06-2024 12:47:27, 42.000              
 08-06-2024 12:47:28, 42.000              
 08-06-2024 12:47:29, 41.750              
 08-06-2024 12:47:30, 41.875              
 08-06-2024 12:47:31, 41.625              
 08-06-2024 12:47:32, 41.875              
 08-06-2024 12:47:33, 41.750              
 08-06-2024 12:47:34, 41.750              
 08-06-2024 12:47:35, 41.500              
 08-06-2024 12:47:36, 41.625              
 08-06-2024 12:47:37, 41.875              
 08-06-2024 12:47:38, 43.500              
 08-06-2024 12:47:39, 49.625              
 08-06-2024 12:47:40, 49.125              
 08-06-2024 12:47:41, 49.375              
 08-06-2024 12:47:42, 50.000              
 08-06-2024 12:47:43, 49.625              
 08-06-2024 12:47:44, 49.250              
 08-06-2024 12:47:45, 48.625              
 08-06-2024 12:47:46, 48.500              
 08-06-2024 12:47:47, 48.250              
 08-06-2024 12:47:48, 47.875              
 08-06-2024 12:47:49, 47.625              
 08-06-2024 12:47:50, 47.750              
 08-06-2024 12:47:51, 47.000              
 08-06-2024 12:47:52, 46.750              
